dealYear,dealMonth,dealDay,umdNm,jibun,buildingUse,buildingType,buildingAr,floor,dealAmount,buildYear,landUse,dealingGbn,buyerGbn,slerGbn,cdealType,cdealDay,pyeongPrice
2025,4,11,여울동,979,업무,집합,61.33,4,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,436.14,4,"317,481",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,140.06,5,"101,953",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,306.46,5,"223,080",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,5,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,550.32,5,"400,597",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,57.81,5,"42,084",2025,중심상업,직거래,법인,법인,,,2407
2025,4,11,여울동,979,업무,집합,140.06,6,"101,953",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,306.46,6,"223,080",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,6,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,550.32,6,"400,597",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,57.81,6,"42,084",2025,중심상업,직거래,법인,법인,,,2407
2025,4,11,여울동,979,업무,집합,332.48,7,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,7,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,7,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,8,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,8,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,8,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,8,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,9,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,9,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,9,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,9,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,10,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,10,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,10,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,10,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,11,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,11,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,11,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,12,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,12,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,12,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,12,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,13,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,13,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,13,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,13,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,14,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,14,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,14,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,14,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,15,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,15,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,15,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,16,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,16,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,16,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,16,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,17,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,17,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,17,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,17,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,18,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,18,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,18,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,18,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,167.15,19,"121,673",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,86.41,19,"62,903",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,504.13,19,"366,977",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,20,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,20,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,20,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,20,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,21,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,21,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,21,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,21,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,22,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,22,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,22,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,22,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,23,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,23,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,23,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,24,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,24,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,24,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,24,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,25,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,25,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,25,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,25,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,332.48,26,"242,026",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,26,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,527.17,26,"383,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,65.86,26,"47,941",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,323.38,27,"235,402",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,61.33,27,"44,641",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,435.13,27,"316,744",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,323.38,28,"235,402",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,47.39,28,"34,495",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,448.01,28,"326,120",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,323.38,29,"235,402",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,47.39,29,"34,495",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,492.63,29,"358,605",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,50.43,29,"36,708",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,323.38,30,"235,402",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,47.39,30,"34,495",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,492.63,30,"358,605",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,업무,집합,50.43,30,"36,708",2025,중심상업,직거래,법인,법인,,,2406
2025,4,11,여울동,979,판매,집합,69.47,,"133,336",2025,중심상업,직거래,법인,법인,,,6345
2025,4,11,여울동,979,판매,집합,47.25,,"90,690",2025,중심상업,직거래,법인,법인,,,6345
2025,4,11,여울동,979,판매,집합,45,,"86,371",2025,중심상업,직거래,법인,법인,,,6345
2025,4,11,여울동,979,판매,집합,45.56,,"87,451",2025,중심상업,직거래,법인,법인,,,6345
2025,4,11,여울동,979,판매,집합,46.41,,"89,071",2025,중심상업,직거래,법인,법인,,,6345
2025,4,11,여울동,979,판매,집합,75.34,,"144,611",2025,중심상업,직거래,법인,법인,,,6345
2025,4,11,여울동,979,판매,집합,31.96,,"61,343",2025,중심상업,직거래,법인,법인,,,6345
2025,4,11,여울동,979,판매,집합,31.28,,"60,038",2025,중심상업,직거래,법인,법인,,,6345
2025,4,11,여울동,979,판매,집합,25.97,,"49,836",2025,중심상업,직거래,법인,법인,,,6344
2025,4,11,여울동,979,판매,집합,29.02,,"55,705",2025,중심상업,직거래,법인,법인,,,6346
2025,4,11,여울동,979,판매,집합,50.43,,"96,785",2025,중심상업,직거래,법인,법인,,,6344
2025,4,11,여울동,979,판매,집합,33.09,,"63,506",2025,중심상업,직거래,법인,법인,,,6344
2025,4,11,여울동,979,판매,집합,32.69,,"62,745",2025,중심상업,직거래,법인,법인,,,6345
2025,4,11,여울동,979,판매,집합,31.96,,"61,333",2025,중심상업,직거래,법인,법인,,,6344
2025,4,11,여울동,979,판매,집합,35.28,,"67,706",2025,중심상업,직거래,법인,법인,,,6344
2025,4,11,여울동,979,판매,집합,32.79,,"62,926",2025,중심상업,직거래,법인,법인,,,6344
2025,4,11,여울동,979,판매,집합,44.41,,"85,229",2025,중심상업,직거래,법인,법인,,,6344
2025,4,11,여울동,979,판매,집합,35.39,,"67,931",2025,중심상업,직거래,법인,법인,,,6345
2025,4,11,여울동,979,판매,집합,34.75,,"66,696",2025,중심상업,직거래,법인,법인,,,6345
2025,4,11,여울동,979,판매,집합,36.04,,"69,166",2025,중심상업,직거래,법인,법인,,,6344
2025,4,11,여울동,979,판매,집합,34.32,,"65,873",2025,중심상업,직거래,법인,법인,,,6345
2025,4,11,여울동,979,판매,집합,52.98,,"101,691",2025,중심상업,직거래,법인,법인,,,6345
2025,4,11,여울동,979,판매,집합,53.3,,"45,842",2025,중심상업,직거래,법인,법인,,,2843
2025,4,11,여울동,979,판매,집합,49.93,,"42,947",2025,중심상업,직거래,법인,법인,,,2843
