시군구,법정동,지번,거래건수,주용도,건물유형,전용면적_최소,전용면적_최대,층_최저,층_최고,평당가_평균,지산후보,단지명,유형확정
화성시 동탄구,청계동,531-2,2,제1종근린생활,집합,75.2,79.2,3,3,1221,,,
,산척동,728-3,2,제2종근린생활,집합,24.7,66.1,1,10,4296,,,
화성시 동탄구,산척동,728-3,2,제2종근린생활,집합,24.7,66.1,1,10,4296,,,
,금곡동,3**,2,제2종근린생활,일반,169.9,169.9,,,1634,,,
화성시 동탄구,금곡동,3**,2,제2종근린생활,일반,169.9,169.9,,,1634,,,
,영천동,675-1,2,제2종근린생활,집합,88.1,107.1,2,2,982,,,
화성시 동탄구,영천동,675-1,2,제2종근린생활,집합,88.1,107.1,2,2,982,,,
,영천동,875-2,2,제2종근린생활,집합,25.5,89.3,1,1,3838,,,
화성시 동탄구,영천동,875-2,2,제2종근린생활,집합,25.5,89.3,1,1,3838,,,
,여울동,969-5,2,제2종근린생활,집합,47.6,128.8,1,4,4096,,,
화성시 동탄구,여울동,969-5,2,제2종근린생활,집합,47.6,128.8,1,4,4096,,,
,반송동,88-6,2,숙박,집합,393.5,437.6,8,9,1273,,,
화성시 동탄구,반송동,88-6,2,숙박,집합,393.5,437.6,8,9,1273,,,
,영천동,873-1,2,제2종근린생활,집합,39.0,39.0,1,1,530,,,
화성시 동탄구,영천동,873-1,2,제2종근린생활,집합,39.0,39.0,1,1,530,,,
,산척동,728-4,2,제2종근린생활,집합,37.8,68.8,1,6,5088,,,
화성시 동탄구,산척동,728-4,2,제2종근린생활,집합,37.8,68.8,1,6,5088,,,
,여울동,969-6,2,제1종근린생활,집합,98.5,104.8,3,3,891,,,
화성시 동탄구,여울동,969-6,2,제1종근린생활,집합,98.5,104.8,3,3,891,,,
,능동,1109,2,제1종근린생활,집합,50.0,100.0,1,3,1174,,,
화성시 동탄구,능동,1109,2,제1종근린생활,집합,50.0,100.0,1,3,1174,,,
,반송동,107-7,2,제1종근린생활,집합,103.1,106.7,1,7,1000,,,
화성시 동탄구,반송동,107-7,2,제1종근린생활,집합,103.1,106.7,1,7,1000,,,
,반송동,107-3,2,제2종근린생활,집합,35.7,37.2,1,1,2917,,,
화성시 동탄구,반송동,107-3,2,제2종근린생활,집합,35.7,37.2,1,1,2917,,,
,청계동,535-3,2,제2종근린생활,집합,57.9,83.4,2,2,2233,,,
화성시 동탄구,청계동,535-3,2,제2종근린생활,집합,57.9,83.4,2,2,2233,,,
,반송동,215,2,제2종근린생활,집합,39.8,45.6,3,3,1161,,,
화성시 동탄구,반송동,215,2,제2종근린생활,집합,39.8,45.6,3,3,1161,,,
,여울동,969-4,2,제2종근린생활,집합,52.9,73.0,3,6,1481,,,
