출처,계획명,계획기간,단위,사업명,사업개요,총사업비,기투자,향후,이후,y1,y2,y3,y4,y5,기준연도,행,수집일
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,북부 도정시책 기획 홍보(자체/직접),"기간:2026.01 ~ 2030.12 대상:언론매체 등 규모:신문사, 방송사 등 내용:도민이해증진 및 참여여건 조성",97,0,97,0,19,19,19,20,20,2026,3159,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,여론수렴 강화(자체 /직접),"기간:2026.01 ~ 2030.12 대상:경기도민 규모:통신,신문,간행물 내용:통신,신문,간행물",52,0,52,0,10,10,10,10,10,2026,3171,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,경기도정 여론조사( 자체/직접),"2026.1.~2030.12. 경기도민 전체 도정 여론조사 22건, 컨설팅 10건, 온라 인 트렌드 분석(일간 정기분석 200건 이 상, 이슈·현안 과제 분석 10건, 온라인 여론 전략 과제 보고서 1건), 온라인 여 론조사35건 도민 의견 수렴",57,0,57,0,11,11,11,12,12,2026,3184,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,도정홍보확산(자체/ 직접),"기간:2026.1~2030.12. 대상:경기도민 등 규모:방송 제작, 홍보대 사 운영 내용:주요도정홍보",59,0,59,0,11,12,12,12,12,2026,3225,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,도정홍보 활성화(자 체/직접),기간:2026.1~2030.12. 대상:경기도민 등 규모:도정 행사 내용:주요도정홍보,68,0,68,0,13,13,14,14,14,2026,3236,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,경기도 브랜드 관리 및 확산(자체/직접),기간:2026.1~2030.12. 대상: 경기도민 규모: 대표 상징물 등 경기도 브랜드 관리 내용: 대표 상징물 관리,62,0,62,0,12,12,12,13,13,2026,3246,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,광고제작 및 확산( 자체/직접),2026.01~2030.12. 경기도민 등 광고 제작 등 광고 제작 등,134,0,134,0,26,27,27,27,27,2026,3261,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,뉴미디어 맞춤형 콘 텐츠 제작 배포(자 체/직접),기간 : 26.01.~30.12. 대상 : 경기도민 규모 : 도정홍보 콘텐츠 내용 : 홍보콘텐츠 제작,35,0,35,0,7,7,7,7,7,2026,3272,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,자 소  계 2026 2027 2028 2029 2030 도정소식지 발행(자 체/직접),2026.1.1.~2030.12.31. 경기도민 월 2만5천부 도정소식지 발행,42,0,42,0,8,8,8,8,8,2026,3309,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,옥외미디어 광고(자 체/직접),기간:2026.01~2030.12. 경기도민 등 옥외미디어 광고 주요도정홍보,142,0,142,0,28,28,28,29,29,2026,3319,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,경기도 범죄피해자 보호·지원(자체/직 접),2026.1.~2030.12. 도내 범죄피해자 도내 범죄피해자 지원 센터 10개소 도내 범죄피해자 지원 센터 10개소를 통한 범 죄피해자 지원,20,0,20,0,4,4,4,4,4,2026,3350,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,생활공감정책 추진( 국비/직접),2026.01.~2030.12. 생활공감정책 참여단 생활공감정책참여단 활 동 생활공감정책 참여단 활동 지원 Y 행 정안 전부,1,0,1,0,0,0,0,0,0,2026,3406,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,도정 업무평가 인센 티브 제공(자체/직 접),2026.01.~2030.12. 도 공무원 및 도 공공기 관 임직원 도정사업추진 성과시상 금 도정사업추진 성과시상 금,20,0,20,0,4,4,4,4,4,2026,3427,2026-09-20
